RiskScore,CreditScore,AnnualIncome,income_band,LoanAmount,loan_amount_band,LoanDuration,loan_duration_band,DebtToIncomeRatio,TotalDebtToIncomeRatio,payment_to_income_ratio,risk_band,LoanApproved,pred_approval_prob,prob_band,high_conf_under_approved,high_conf_over_approved,exception_type
49.0,617,39948,30k-60k,13152,5k-20k,48,37-60m,0.3583355996981915,0.1810771978253941,0.12610573492362182,Medium,0,0.027386993283020706,low_conf_reject,0,0,none
52.0,628,39709,30k-60k,26045,20k-50k,48,37-60m,0.330273669928854,0.3898524480253535,0.2399619949794446,Medium,0,9.759875027568674e-06,low_conf_reject,0,0,none
52.0,570,40724,30k-60k,17627,5k-20k,36,13-36m,0.2447291091328494,0.4621569652325321,0.19636775002773893,Medium,0,3.293628865872028e-05,low_conf_reject,0,0,none
54.0,545,69084,60k-100k,37898,20k-50k,96,60m+,0.4362442650682687,0.3130983116604649,0.18195361824375544,Medium,0,9.584044899174998e-06,low_conf_reject,0,0,none
36.0,594,103264,100k+,9184,5k-20k,36,13-36m,0.0788842122687955,0.0702098474378087,0.03836912850381438,Low,1,0.9999964155521218,low_conf_approve,0,0,none
44.0,626,178310,100k+,15433,5k-20k,72,60m+,0.2593664008403899,0.0752112887097658,0.0259487683800031,Medium,1,0.9997911561296983,low_conf_approve,0,0,none
50.0,564,51250,30k-60k,12741,5k-20k,48,37-60m,0.1274727031804663,0.1705288628289459,0.09162154575577523,Medium,0,0.0007139032443670426,low_conf_reject,0,0,none
42.400000000000006,516,97345,60k-100k,19634,5k-20k,12,<=12m,0.3955676351247315,0.2607665587313296,0.22526396486415656,Medium,1,0.9998264843952798,low_conf_approve,0,0,none
61.0,603,116841,100k+,55353,50k+,60,37-60m,0.3132332595016429,0.2465092588411087,0.18098431468623208,Medium,0,1.0663634389523448e-05,low_conf_reject,0,0,none
53.0,612,40615,30k-60k,25443,20k-50k,12,<=12m,0.5051480267602317,0.9033837027516506,0.6953817330360281,Medium,0,1.1256187813402736e-06,low_conf_reject,0,0,none
47.0,478,73646,60k-100k,48716,20k-50k,84,60m+,0.0814447301385817,0.2886433733129584,0.24513795550343698,Medium,0,0.00015228778921983193,low_conf_reject,0,0,none
56.0,591,15000,<30k,30088,20k-50k,24,13-36m,0.3466856611903402,1.440487622182721,1.20448762218272,Medium,0,5.638078071089593e-13,low_conf_reject,0,0,none
56.0,573,74453,60k-100k,16154,5k-20k,60,37-60m,0.3710335920591852,0.1188733655288216,0.07729008480138289,Medium,0,4.73366504222355e-05,low_conf_reject,0,0,none
63.0,580,100508,100k+,20439,20k-50k,60,37-60m,0.5813609803865023,0.1004554701919019,0.07096528035626697,Medium,0,4.1507962894937965e-05,low_conf_reject,0,0,none
58.0,597,47624,30k-60k,27197,20k-50k,36,13-36m,0.7515148192746655,0.3048452985451894,0.25545843477902064,Medium,0,0.00010333651618133497,low_conf_reject,0,0,none
33.6,605,56650,30k-60k,12652,5k-20k,36,13-36m,0.0441568040602275,0.1730289485515403,0.10185507388252005,Low,1,0.9999918669433477,low_conf_approve,0,0,none
53.0,582,50042,30k-60k,19105,5k-20k,60,37-60m,0.308869314312398,0.2811833524821718,0.11812032542489996,Medium,0,4.23960383520977e-05,low_conf_reject,0,0,none
39.2,644,142326,100k+,13499,5k-20k,96,60m+,0.29546987577122,0.090653448921216,0.025563444283974793,Low,1,0.9999099975332407,low_conf_approve,0,0,none
59.0,553,16021,<30k,14655,5k-20k,72,60m+,0.1045686898825265,0.4997267654926323,0.28550792771721295,Medium,0,6.684649125260864e-09,low_conf_reject,0,0,none
48.0,594,34698,30k-60k,14314,5k-20k,60,37-60m,0.1005979617163389,0.4010842430949536,0.13997409265400623,Medium,0,0.00013338487509984885,low_conf_reject,0,0,none
32.800000000000004,630,106749,100k+,15698,5k-20k,48,37-60m,0.1472796820224425,0.1731606990474937,0.05411508737900042,Low,1,0.9999995288579874,low_conf_approve,0,0,none
51.0,594,59138,30k-60k,13205,5k-20k,72,60m+,0.1116632265342507,0.1804154528987787,0.06597127149257621,Medium,0,5.248443863074937e-05,low_conf_reject,0,0,none
46.400000000000006,635,114216,100k+,9809,5k-20k,60,37-60m,0.6304483929012554,0.0873594142941465,0.027367819421274114,Medium,1,0.9991468985554784,low_conf_approve,0,0,none
53.0,503,63300,60k-100k,16476,5k-20k,24,13-36m,0.2357985888572082,0.2351221749448646,0.16384255409178408,Medium,0,0.0007150477043788025,low_conf_reject,0,0,none
60.0,555,39676,30k-60k,47795,20k-50k,60,37-60m,0.5733945375308696,0.4874275301513454,0.4272400112482297,Medium,0,2.662828715689504e-09,low_conf_reject,0,0,none
58.0,594,59192,30k-60k,45608,20k-50k,36,13-36m,0.2301158454793847,0.3889465109073244,0.34394042900436406,Medium,0,7.948768319413017e-10,low_conf_reject,0,0,none
51.0,462,15059,<30k,20240,20k-50k,24,13-36m,0.0670663376140666,1.2106004696960564,0.8575889815494362,Medium,0,2.223280077347823e-09,low_conf_reject,0,0,none
51.0,608,15305,<30k,21452,20k-50k,48,37-60m,0.0631537920264881,0.8821776393249853,0.5348401679104151,Medium,0,2.3740468798353185e-09,low_conf_reject,0,0,none
48.0,622,35498,30k-60k,11136,5k-20k,36,13-36m,0.1764443521487324,0.369207792391151,0.1332508370697245,Medium,0,0.0020686545160616774,low_conf_reject,0,0,none
